date,sector,value
1/4/2015,Agriculture,10.65
1/4/2015,Mining & Quarrying,-4.278
1/4/2015,Manufacturing,5.394
1/4/2015,Construction,-5.835
1/4/2015,Services,1.603
1/4/2015,Import Duties,16.614
1/7/2015,Agriculture,15.349
1/7/2015,Mining & Quarrying,-5.71
1/7/2015,Manufacturing,0.237
1/7/2015,Construction,10.869
1/7/2015,Services,3.334
1/7/2015,Import Duties,-0.489
1/10/2015,Agriculture,-12.729
1/10/2015,Mining & Quarrying,7.96
1/10/2015,Manufacturing,4.023
1/10/2015,Construction,0.44
1/10/2015,Services,5.004
1/10/2015,Import Duties,14.945
1/1/2016,Agriculture,-12.222
1/1/2016,Mining & Quarrying,1.508
1/1/2016,Manufacturing,-4.896
1/1/2016,Construction,2.987
1/1/2016,Services,-4.542
1/1/2016,Import Duties,-4.778
1/4/2016,Agriculture,6.644
1/4/2016,Mining & Quarrying,-1.027
1/4/2016,Manufacturing,4.627
1/4/2016,Construction,-5.005
1/4/2016,Services,2.113
1/4/2016,Import Duties,-3.944
1/7/2016,Agriculture,16.744
1/7/2016,Mining & Quarrying,-5.267
1/7/2016,Manufacturing,0.69
1/7/2016,Construction,9.906
1/7/2016,Services,3.743
1/7/2016,Import Duties,0.442
1/10/2016,Agriculture,-10.059
1/10/2016,Mining & Quarrying,10.491
1/10/2016,Manufacturing,4.855
1/10/2016,Construction,-2.306
1/10/2016,Services,4.413
1/10/2016,Import Duties,10.737
1/1/2017,Agriculture,-4.8
1/1/2017,Mining & Quarrying,-2.531
1/1/2017,Manufacturing,-4.085
1/1/2017,Construction,4.702
1/1/2017,Services,-4.291
1/1/2017,Import Duties,1.589
1/4/2017,Agriculture,4.582
1/4/2017,Mining & Quarrying,-2.451
1/4/2017,Manufacturing,4.665
1/4/2017,Construction,-3.657
1/4/2017,Services,2.617
1/4/2017,Import Duties,-0.828
1/7/2017,Agriculture,15.319
1/7/2017,Mining & Quarrying,-2.623
1/7/2017,Manufacturing,1.661
1/7/2017,Construction,7.723
1/7/2017,Services,3.921
1/7/2017,Import Duties,4.569
1/10/2017,Agriculture,-4.68
1/10/2017,Mining & Quarrying,7.078
1/10/2017,Manufacturing,3.154
1/10/2017,Construction,-2.587
1/10/2017,Services,4.165
1/10/2017,Import Duties,8.849
1/1/2018,Agriculture,-10.358
1/1/2018,Mining & Quarrying,-4.087
1/1/2018,Manufacturing,-4.112
1/1/2018,Construction,3.736
1/1/2018,Services,-4.077
1/1/2018,Import Duties,1.773
1/4/2018,Agriculture,-0.026
1/4/2018,Mining & Quarrying,-1.283
1/4/2018,Manufacturing,4.27
1/4/2018,Construction,-3.728
1/4/2018,Services,2.685
1/4/2018,Import Duties,-14.474
1/7/2018,Agriculture,16.302
1/7/2018,Mining & Quarrying,-6.247
1/7/2018,Manufacturing,1.83
1/7/2018,Construction,7.638
1/7/2018,Services,4.598
1/7/2018,Import Duties,-28.043
1/10/2018,Agriculture,-4.175
1/10/2018,Mining & Quarrying,12.538
1/10/2018,Manufacturing,2.843
1/10/2018,Construction,-4.69
1/10/2018,Services,3.777
1/10/2018,Import Duties,36.76
1/1/2019,Agriculture,-4.819
1/1/2019,Mining & Quarrying,-3.89
1/1/2019,Manufacturing,-4.661
1/1/2019,Construction,1.86
1/1/2019,Services,-4.522
1/1/2019,Import Duties,-5.423
1/4/2019,Agriculture,-1.785
1/4/2019,Mining & Quarrying,1.018
1/4/2019,Manufacturing,4.467
1/4/2019,Construction,-3.251
1/4/2019,Services,2.413
1/4/2019,Import Duties,4.175
1/7/2019,Agriculture,15.726
1/7/2019,Mining & Quarrying,-11.011
1/7/2019,Manufacturing,1.161
1/7/2019,Construction,4.987
1/7/2019,Services,4.314
1/7/2019,Import Duties,-0.869
1/10/2019,Agriculture,-12.688
1/10/2019,Mining & Quarrying,12.963
1/10/2019,Manufacturing,2.261
1/10/2019,Construction,-2.045
1/10/2019,Services,4.141
1/10/2019,Import Duties,-3.653
1/1/2020,Agriculture,-8.104
1/1/2020,Mining & Quarrying,-4.365
1/1/2020,Manufacturing,-6.233
1/1/2020,Construction,-7.479
1/1/2020,Services,-7.262
1/1/2020,Import Duties,-15.394
1/4/2020,Agriculture,8.384
1/4/2020,Mining & Quarrying,-15.998
1/4/2020,Manufacturing,-16.04
1/4/2020,Construction,-41.452
1/4/2020,Services,-16.51
1/4/2020,Import Duties,2.629
1/7/2020,Agriculture,14.402
1/7/2020,Mining & Quarrying,2.908
1/7/2020,Manufacturing,28.135
1/7/2020,Construction,65.389
1/7/2020,Services,19.579
1/7/2020,Import Duties,11.907
1/10/2020,Agriculture,-13.315
1/10/2020,Mining & Quarrying,9.151
1/10/2020,Manufacturing,2.106
1/10/2020,Construction,-3.653
1/10/2020,Services,3.104
1/10/2020,Import Duties,22.789
1/1/2021,Agriculture,-6.859
1/1/2021,Mining & Quarrying,2.527
1/1/2021,Manufacturing,-2.97
1/1/2021,Construction,-4.043
1/1/2021,Services,-4.781
1/1/2021,Import Duties,-16.568
1/4/2021,Agriculture,6.619
1/4/2021,Mining & Quarrying,-2.261
1/4/2021,Manufacturing,-0.203
1/4/2021,Construction,-8.223
1/4/2021,Services,-2.874
1/4/2021,Import Duties,7.11
1/7/2021,Agriculture,13.576
1/7/2021,Mining & Quarrying,-11.905
1/7/2021,Manufacturing,0.189
1/7/2021,Construction,-6.364
1/7/2021,Services,0.236
1/7/2021,Import Duties,-22.285
1/10/2021,Agriculture,-8.764
1/10/2021,Mining & Quarrying,12.26
1/10/2021,Manufacturing,12.473
1/10/2021,Construction,6.585
1/10/2021,Services,11.38
1/10/2021,Import Duties,28.34
1/1/2022,Agriculture,-8.013
1/1/2022,Mining & Quarrying,2.394
1/1/2022,Manufacturing,-5.098
1/1/2022,Construction,2.609
1/1/2022,Services,-1.757
1/1/2022,Import Duties,-9.365
1/4/2022,Agriculture,3.237
1/4/2022,Mining & Quarrying,-2.913
1/4/2022,Manufacturing,2.138
1/4/2022,Construction,0.178
1/4/2022,Services,2.062
1/4/2022,Import Duties,10.779
1/7/2022,Agriculture,18.077
1/7/2022,Mining & Quarrying,-1.039
1/7/2022,Manufacturing,3.775
1/7/2022,Construction,5.2
1/7/2022,Services,4.545
1/7/2022,Import Duties,-1.302
1/10/2022,Agriculture,-8.571
1/10/2022,Mining & Quarrying,9.026
1/10/2022,Manufacturing,3.369
1/10/2022,Construction,1.885
1/10/2022,Services,4.152
1/10/2022,Import Duties,9.834
1/1/2023,Agriculture,-9.03
1/1/2023,Mining & Quarrying,-3.055
1/1/2023,Manufacturing,-5.781
1/1/2023,Construction,0.022
1/1/2023,Services,-3.613
1/1/2023,Import Duties,-5.918
1/4/2023,Agriculture,1.101
1/4/2023,Mining & Quarrying,-6.391
1/4/2023,Manufacturing,-0.931
1/4/2023,Construction,-0.921
1/4/2023,Services,-0.411
1/4/2023,Import Duties,4.968
1/7/2023,Agriculture,19.287
1/7/2023,Mining & Quarrying,-0.047
1/7/2023,Manufacturing,3.521
1/7/2023,Construction,6.131
1/7/2023,Services,4.923
1/7/2023,Import Duties,0.022
1/10/2023,Agriculture,-7.092
1/10/2023,Mining & Quarrying,14.075
1/10/2023,Manufacturing,3.218
1/10/2023,Construction,-1.54
1/10/2023,Services,3.341
1/10/2023,Import Duties,11.43
