state,population,annual_growth_GDP,participation_rate,unemployment_rate
Johor,4107.2,4.099,70.35,2.45
Kedah,2189.3,1.569,66.55,2.45
Kelantan,1859.8,2.649,61.625,3.975
Melaka,1028.3,2.972,66.95,2.75
Negeri Sembilan,1224.9,1.815,67.225,2.4
Pahang,1643.2,5.175,65.625,2.65
Pulau Pinang,1772.6,3.274,72.225,2.125
Perak,2541.2,2.651,64.975,3.25
Perlis,293.1,2.145,66,2.175
Selangor,7209.7,5.43,76.7,2.425
Terengganu,1210,2.269,60.225,4.425
Sabah,3596.7,1.328,70.675,7.525
Sarawak,2502.3,1.175,69.9,3.45
Kuala Lumpur,2005.7,3.652,73.325,3.325
Labuan,99,1.918,66.525,6.75
Putrajaya,118.8,3.803,75.825,0.825
